player_name,discipline,matches_played,wins,losses,pts_for,pts_agst,win_pct,shot_pct,pt_differential,pt_differential_per_match,experience_tier
Aaron CHIA,Doubles,17,14,3,781,658,0.8235,0.5427,123,7.24,Moderate
Adnan MAULANA,Doubles,1,1,0,62,54,1.0,0.5345,8,8.0,Low
Akane YAMAGUCHI,Singles,78,54,24,3732,3337,0.6923,0.5279,395,5.06,Elite
Akira KOGA,Doubles,7,5,2,355,327,0.7143,0.5205,28,4.0,Moderate
Alex LANIER,Singles,3,2,1,171,171,0.6667,0.5,0,0.0,Low
Alexander DUNN,Doubles,1,0,1,63,63,0.0,0.5,0,0.0,Low
Alexandra BØJE,Doubles,3,2,1,164,148,0.6667,0.5256,16,5.33,Low
Anastasiia AKCHURINA,Doubles,2,2,0,109,95,1.0,0.5343,14,7.0,Low
Anders ANTONSEN,Singles,20,17,3,947,838,0.85,0.5305,109,5.45,Moderate
Anthony Sinisuka GINTING,Singles,33,24,9,1513,1335,0.7273,0.5312,178,5.39,High
Apriyani RAHAYU,Doubles,4,3,1,187,186,0.75,0.5013,1,0.25,Low
Ashwini PONNAPPA,Doubles,3,1,2,126,120,0.3333,0.5122,6,2.0,Low
BAEK Ha Na,Doubles,11,9,2,536,486,0.8182,0.5245,50,4.55,Moderate
Benyapa AIMSAARD,Doubles,9,7,2,376,302,0.7778,0.5546,74,8.22,Moderate
Brice LEVERDEZ,Singles,1,1,0,63,54,1.0,0.5385,9,9.0,Low
Busanan ONGBAMRUNGPHAN,Singles,10,8,2,472,415,0.8,0.5321,57,5.7,Moderate
CAI Yanyan,Singles,4,2,2,190,182,0.5,0.5108,8,2.0,Low
CHAN Peng Soon,Doubles,5,2,3,289,277,0.4,0.5106,12,2.4,Low
CHANG Ye Na,Doubles,10,6,4,497,455,0.6,0.5221,42,4.2,Moderate
CHEAM June Wei,Singles,3,1,2,154,139,0.3333,0.5256,15,5.0,Low
CHEN Hung Ling,Doubles,4,2,2,171,165,0.5,0.5089,6,1.5,Low
CHEN Qingchen,Doubles,67,53,14,3096,2627,0.791,0.541,469,7.0,Elite
CHEN Yufei,Singles,91,72,19,4411,3739,0.7912,0.5412,672,7.38,Elite
CHOI SolGyu,Doubles,7,6,1,374,345,0.8571,0.5202,29,4.14,Moderate
CHOU Tien Chen,Singles,45,30,15,2301,2059,0.6667,0.5278,242,5.38,High
Carolina MARIN,Singles,28,19,9,1300,1059,0.6786,0.5511,241,8.61,High
Chisato HOSHI,Doubles,2,2,0,103,91,1.0,0.5309,12,6.0,Low
Chloe BIRCH,Doubles,2,2,0,104,74,1.0,0.5843,30,15.0,Low
Chris ADCOCK,Doubles,1,1,0,62,57,1.0,0.521,5,5.0,Low
DU Yue,Doubles,12,9,3,557,478,0.75,0.5382,79,6.58,Moderate
Dechapol PUAVARANUKROH,Doubles,80,66,14,3853,3219,0.825,0.5448,634,7.92,Elite
Evgeniya KOSETSKAYA,Singles,2,2,0,103,80,1.0,0.5628,23,11.5,Low
FENG Yanzhe,Doubles,19,16,3,932,788,0.8421,0.5419,144,7.58,Moderate
Fajar ALFIAN,Doubles,44,34,10,2067,1832,0.7727,0.5301,235,5.34,High
Febriana Dwipuji KUSUMA,Doubles,4,3,1,169,150,0.75,0.5298,19,4.75,Low
GOH Soon Huat,Doubles,6,6,0,320,293,1.0,0.522,27,4.5,Moderate
GOH V Shem,Doubles,6,6,0,268,208,1.0,0.563,60,10.0,Moderate
Gabriela STOEVA,Doubles,9,9,0,378,215,1.0,0.6374,163,18.11,Moderate
Gianmarco BAILETTI,Doubles,1,1,0,63,52,1.0,0.5478,11,11.0,Low
Giovanni TOTI,Singles,1,1,0,63,55,1.0,0.5339,8,8.0,Low
Gregoria Mariska TUNJUNG,Singles,14,9,5,665,594,0.6429,0.5282,71,5.07,Moderate
Gregory MAIRS,Doubles,1,1,0,64,61,1.0,0.512,3,3.0,Low
Greysia POLII,Doubles,26,22,4,1320,1139,0.8462,0.5368,181,6.96,High
HAN Yue,Singles,10,8,2,493,433,0.8,0.5324,60,6.0,Moderate
HE Bingjiao,Singles,24,18,6,1088,952,0.75,0.5333,136,5.67,High
HE Jiting,Doubles,3,3,0,163,145,1.0,0.5292,18,6.0,Low
HEE Yong Kai Terry,Doubles,3,2,1,163,149,0.6667,0.5224,14,4.67,Low
HSU Ya Ching,Doubles,2,2,0,105,94,1.0,0.5276,11,5.5,Low
HUANG Yuxiang,Singles,2,2,0,98,92,1.0,0.5158,6,3.0,Low
Hafiz FAIZAL,Doubles,4,3,1,212,190,0.75,0.5274,22,5.5,Low
Hans-Kristian Solberg VITTINGHUS,Singles,4,4,0,215,201,1.0,0.5168,14,3.5,Low
Hiroki NISHI,Doubles,3,2,1,167,150,0.6667,0.5268,17,5.67,Low
Hiroyuki ENDO,Doubles,19,13,6,923,806,0.6842,0.5338,117,6.16,Moderate
JEONG Na Eun,Doubles,2,2,0,122,88,1.0,0.581,34,17.0,Low
JIANG Zhenbang,Doubles,4,3,1,197,167,0.75,0.5412,30,7.5,Low
Jan O JORGENSEN,Singles,3,2,1,182,170,0.6667,0.517,12,4.0,Low
Jeppe BAY,Doubles,2,2,0,105,97,1.0,0.5198,8,4.0,Low
Jonatan CHRISTIE,Singles,24,17,7,1094,968,0.7083,0.5306,126,5.25,High
Jonathan DOLAN,Singles,1,1,0,67,63,1.0,0.5154,4,4.0,Low
Jones Ralfy JANSEN,Doubles,1,1,0,64,60,1.0,0.5161,4,4.0,Low
Jongkolphan KITITHARAKUL,Doubles,33,27,6,1530,1272,0.8182,0.546,258,7.82,High
KIDAMBI Srikanth,Singles,10,7,3,431,367,0.7,0.5401,64,6.4,Moderate
KIM Gi Jung,Doubles,2,2,0,84,61,1.0,0.5793,23,11.5,Low
KIM So Yeong,Doubles,41,33,8,2004,1690,0.8049,0.5425,314,7.66,High
KIM Won Ho,Doubles,4,3,1,204,189,0.75,0.5191,15,3.75,Low
KISONA Selvaduray,Singles,3,2,1,171,163,0.6667,0.512,8,2.67,Low
KO Sung Hyun,Doubles,2,2,0,104,78,1.0,0.5714,26,13.0,Low
Kanta TSUNEYAMA,Singles,6,4,2,304,270,0.6667,0.5296,34,5.67,Moderate
Kantaphon WANGCHAROEN,Singles,4,3,1,181,158,0.75,0.5339,23,5.75,Low
Kenta NISHIMOTO,Singles,15,8,7,699,657,0.5333,0.5155,42,2.8,Moderate
Kento MOMOTA,Singles,69,59,10,3228,2640,0.8551,0.5501,588,8.52,Elite
Khosit PHETPRADAB,Singles,4,2,2,188,164,0.5,0.5341,24,6.0,Low
Kim ASTRUP,Doubles,41,33,8,2010,1657,0.8049,0.5481,353,8.61,High
Kirsty GILMOUR,Singles,7,5,2,325,280,0.7143,0.5372,45,6.43,Moderate
Kodai NARAOKA,Singles,19,13,6,880,808,0.6842,0.5213,72,3.79,Moderate
Kunlavut VITIDSARN,Singles,11,7,4,526,449,0.6364,0.5395,77,7.0,Moderate
Kyohei YAMASHITA,Doubles,1,1,0,72,59,1.0,0.5496,13,13.0,Low
LEE Chun Hei Reginald,Doubles,3,2,1,163,150,0.6667,0.5208,13,4.33,Low
LEE Hyun Il,Singles,3,2,1,156,144,0.6667,0.52,12,4.0,Low
LEE Jhe-Huei,Doubles,3,2,1,153,132,0.6667,0.5368,21,7.0,Low
LEE So Hee,Doubles,40,29,11,1956,1741,0.725,0.5291,215,5.38,High
LEE Yang,Doubles,23,16,7,1155,1033,0.6957,0.5279,122,5.3,High
LEE Yu Lim,Doubles,3,3,0,164,140,1.0,0.5395,24,8.0,Low
LEE Zii Jia,Singles,24,15,9,1193,1071,0.625,0.5269,122,5.08,High
LI Junhui,Doubles,23,20,3,1203,1067,0.8696,0.53,136,5.91,High
LI Shifeng,Singles,3,2,1,175,156,0.6667,0.5287,19,6.33,Low
LI Wenmei,Doubles,6,3,3,302,285,0.5,0.5145,17,2.83,Moderate
LI Xuerui,Singles,4,3,1,163,148,0.75,0.5241,15,3.75,Low
LI Yijing,Doubles,3,2,1,191,168,0.6667,0.532,23,7.67,Low
LIANG Weikeng,Doubles,11,8,3,575,524,0.7273,0.5232,51,4.64,Moderate
LIEW Daren,Singles,2,2,0,104,91,1.0,0.5333,13,6.5,Low
LIN Chun-Yi,Singles,4,2,2,185,183,0.5,0.5027,2,0.5,Low
LIN Yu Hsien,Singles,1,1,0,63,55,1.0,0.5339,8,8.0,Low
LIU Cheng,Doubles,9,5,4,488,456,0.5556,0.5169,32,3.56,Moderate
LIU Sheng Shu,Doubles,8,7,1,332,266,0.875,0.5552,66,8.25,Moderate
LIU Yuchen,Doubles,18,16,2,903,805,0.8889,0.5287,98,5.44,Moderate
LOH Kean Yew,Singles,10,6,4,483,422,0.6,0.5337,61,6.1,Moderate
LU Ching Yao,Doubles,3,3,0,143,105,1.0,0.5766,38,12.67,Low
LU Guangzu,Singles,3,3,0,132,99,1.0,0.5714,33,11.0,Low
Lakshya SEN,Singles,8,6,2,347,301,0.75,0.5355,46,5.75,Moderate
Leo Rolly CARNANDO,Doubles,5,4,1,219,209,0.8,0.5117,10,2.0,Low
Lianne TAN,Singles,3,3,0,150,150,1.0,0.5,0,0.0,Low
Line Højmark KJAERSFELDT,Singles,4,4,0,204,155,1.0,0.5682,49,12.25,Low
Mads CHRISTOPHERSEN,Singles,3,1,2,171,171,0.3333,0.5,0,0.0,Low
Maiken FRUERGAARD,Doubles,5,5,0,248,193,1.0,0.5624,55,11.0,Low
Marcus ELLIS,Doubles,17,16,1,802,641,0.9412,0.5558,161,9.47,Moderate
Marcus Fernaldi GIDEON,Doubles,64,52,12,3050,2578,0.8125,0.5419,472,7.38,Elite
Mark LAMSFUSS,Doubles,11,7,4,432,386,0.6364,0.5281,46,4.18,Moderate
Martina REPISKA,Doubles,1,1,0,63,60,1.0,0.5122,3,3.0,Low
Mathias BAY-SMIDT,Doubles,1,1,0,68,59,1.0,0.5354,9,9.0,Low
Mathias BOE,Doubles,9,6,3,405,376,0.6667,0.5186,29,3.22,Moderate
Mathias CHRISTIANSEN,Doubles,20,14,6,962,861,0.7,0.5277,101,5.05,Moderate
Mayu MATSUMOTO,Doubles,24,22,2,1131,900,0.9167,0.5569,231,9.62,High
Mia BLICHFELDT,Singles,7,5,2,358,341,0.7143,0.5122,17,2.43,Moderate
Min Hyuk KANG,Doubles,26,19,7,1256,1137,0.7308,0.5249,119,4.58,High
Misaki MATSUTOMO,Doubles,46,34,12,2158,1840,0.7391,0.5398,318,6.91,High
Mohammad AHSAN,Doubles,58,44,14,2695,2413,0.7586,0.5276,282,4.86,Elite
Muhammad Shohibul FIKRI,Doubles,5,4,1,279,265,0.8,0.5129,14,2.8,Low
NG Ka Long Angus,Singles,8,5,3,417,394,0.625,0.5142,23,2.88,Moderate
Nami MATSUYAMA,Doubles,35,25,10,1605,1367,0.7143,0.54,238,6.8,High
Neslihan YIGIT,Singles,5,4,1,243,192,0.8,0.5586,51,10.2,Low
Niclas NOHR,Doubles,3,2,1,194,175,0.6667,0.5257,19,6.33,Low
Nozomi OKUHARA,Singles,33,27,6,1596,1287,0.8182,0.5536,309,9.36,High
ONG Yew Sin,Doubles,14,12,2,695,585,0.8571,0.543,110,7.86,Moderate
OU Xuanyi,Doubles,3,2,1,163,149,0.6667,0.5224,14,4.67,Low
PRANNOY H. S.,Singles,17,12,5,805,731,0.7059,0.5241,74,4.35,Moderate
PUSARLA V. Sindhu,Singles,38,32,6,1801,1489,0.8421,0.5474,312,8.21,High
Philip BIRKER,Doubles,1,1,0,63,63,1.0,0.5,0,0.0,Low
Pornpawee CHOCHUWONG,Singles,9,7,2,407,338,0.7778,0.5463,69,7.67,Moderate
Pramudya Kusumawardana RIYANTO,Doubles,4,4,0,229,194,1.0,0.5414,35,8.75,Low
Praveen JORDAN,Doubles,21,14,7,1020,908,0.6667,0.529,112,5.33,High
Puttita SUPAJIRAKUL,Doubles,6,3,3,245,238,0.5,0.5072,7,1.17,Moderate
Rasmus GEMKE,Singles,6,3,3,284,271,0.5,0.5117,13,2.17,Moderate
Ratchanok INTANON,Singles,39,33,6,1778,1415,0.8462,0.5568,363,9.31,High
Rehan Naufal KUSHARJANTO,Doubles,3,3,0,161,132,1.0,0.5495,29,9.67,Low
Rena MIYAURA,Doubles,6,4,2,295,251,0.6667,0.5403,44,7.33,Moderate
Rin IWANAGA,Doubles,3,3,0,153,129,1.0,0.5426,24,8.0,Low
Rinov RIVALDY,Doubles,6,4,2,332,300,0.6667,0.5253,32,5.33,Moderate
Robin TABELING,Doubles,3,2,1,131,121,0.6667,0.5198,10,3.33,Low
Rodion ALIMOV,Doubles,5,5,0,266,213,1.0,0.5553,53,10.6,Low
Rowan SCHEURKOGEL,Doubles,1,1,0,65,58,1.0,0.5285,7,7.0,Low
Ruben JILLE,Doubles,3,3,0,183,169,1.0,0.5199,14,4.67,Low
Ruselli HARTAWAN,Singles,5,5,0,266,230,1.0,0.5363,36,7.2,Low
SEO Seung Jae,Doubles,11,8,3,548,476,0.7273,0.5352,72,6.55,Moderate
SHI Yuqi,Singles,19,14,5,951,830,0.7368,0.534,121,6.37,Moderate
SON Wan Ho,Singles,7,5,2,335,320,0.7143,0.5115,15,2.14,Moderate
SUN Feixiang,Singles,2,1,1,97,84,0.5,0.5359,13,6.5,Low
SUNG Ji Hyun,Singles,2,1,1,102,93,0.5,0.5231,9,4.5,Low
Sabrina JAQUET,Singles,3,0,3,150,150,0.0,0.5,0,0.0,Low
Saina NEHWAL,Singles,4,1,3,180,178,0.25,0.5028,2,0.5,Low
Sameer VERMA,Singles,3,2,1,159,140,0.6667,0.5318,19,6.33,Low
Satwiksairaj RANKIREDDY,Doubles,11,8,3,588,504,0.7273,0.5385,84,7.64,Moderate
Se Young AN,Singles,48,41,7,2217,1831,0.8542,0.5477,386,8.04,High
Shesar Hiren RHUSTAVITO,Singles,2,2,0,114,93,1.0,0.5507,21,10.5,Low
Siti Fadia Silva RAMADHANTI,Doubles,2,2,0,84,47,1.0,0.6412,37,18.5,Low
Sitthikom THAMMASIN,Singles,3,3,0,156,134,1.0,0.5379,22,7.33,Low
Sourabh VERMA,Singles,3,3,0,158,123,1.0,0.5623,35,11.67,Low
Sturla Flaten JORGENSEN,Doubles,1,1,0,67,59,1.0,0.5317,8,8.0,Low
Supak JOMKOH,Doubles,5,4,1,250,223,0.8,0.5285,27,5.4,Low
Supanida KATETHONG,Singles,3,1,2,163,155,0.3333,0.5126,8,2.67,Low
TAI Tzu Ying,Singles,68,59,9,3138,2532,0.8676,0.5534,606,8.91,Elite
TAN Pearly Koong Le,Doubles,11,6,5,521,495,0.5455,0.5128,26,2.36,Moderate
TANG Chun Man,Doubles,17,14,3,804,649,0.8235,0.5533,155,9.12,Moderate
Takeshi KAMURA,Doubles,28,21,7,1358,1198,0.75,0.5313,160,5.71,High
Takuro HOKI,Doubles,18,15,3,904,797,0.8333,0.5315,107,5.94,Moderate
Thom GICQUEL,Doubles,12,9,3,619,542,0.75,0.5332,77,6.42,Moderate
Toma Junior POPOV,Singles,2,1,1,93,84,0.5,0.5254,9,4.5,Low
Tommy SUGIARTO,Singles,7,4,3,324,292,0.5714,0.526,32,4.57,Moderate
Viktor AXELSEN,Singles,64,52,12,2882,2128,0.8125,0.5752,754,11.78,Elite
Vivian HOO,Doubles,2,1,1,115,110,0.5,0.5111,5,2.5,Low
Vladimir IVANOV,Doubles,2,1,1,110,109,0.5,0.5023,1,0.5,Low
Vladimir MALKOV,Singles,4,3,1,213,196,0.75,0.5208,17,4.25,Low
WANG Tzu Wei,Singles,5,3,2,237,194,0.6,0.5499,43,8.6,Low
WANG Yilyu,Doubles,44,37,7,2078,1679,0.8409,0.5531,399,9.07,High
WANG Zhiyi,Singles,8,6,2,356,276,0.75,0.5633,80,10.0,Moderate
WENG Hongyang,Singles,7,5,2,356,320,0.7143,0.5266,36,5.14,Moderate
Yuki FUKUSHIMA,Doubles,60,45,15,2687,2181,0.75,0.552,506,8.43,Elite
Yuki KANEKO,Doubles,2,2,0,114,105,1.0,0.5205,9,4.5,Low
Yuta WATANABE,Doubles,51,41,10,2406,2030,0.8039,0.5424,376,7.37,Elite
Yvonne LI,Singles,5,4,1,252,210,0.8,0.5455,42,8.4,Low
ZHANG Nan,Doubles,3,2,1,136,122,0.6667,0.5271,14,4.67,Low
ZHANG Shuxian,Doubles,10,7,3,454,382,0.7,0.5431,72,7.2,Moderate
ZHAO Junpeng,Singles,3,2,1,136,119,0.6667,0.5333,17,5.67,Low
ZHENG Siwei,Doubles,128,107,21,6042,4787,0.8359,0.5579,1255,9.8,Elite
Zach RUSS,Doubles,1,1,0,63,57,1.0,0.525,6,6.0,Low
